mic_id,theta_rad,overall_spl_db,harmonic_order,exact_freq_hz,spl_db,relative_spl_db
DJIMavic2Enterprise_Hover_6,1.5707963267948966,72.27869966043262,3,287.0,27.249305877099243,-13.971843597116166
DJIMavic2Enterprise_Hover_6,1.5707963267948966,72.27869966043262,4,382.0,33.66164389692966,-7.559505577285748
DJIMavic2Enterprise_Hover_6,1.5707963267948966,72.27869966043262,5,478.0,28.353088931081835,-12.868060543133574
DJIMavic2Enterprise_Hover_6,1.5707963267948966,72.27869966043262,6,578.0,37.302060885663934,-3.9190885885514746
DJIMavic2Enterprise_Hover_6,1.5707963267948966,72.27869966043262,7,606.0,29.01054665381062,-12.210602820404787
DJIMavic2Enterprise_Hover_6,1.5707963267948966,72.27869966043262,8,771.0,29.241137182586602,-11.980012291628807
DJIMavic2Enterprise_Hover_6,1.5707963267948966,72.27869966043262,9,785.0,27.289805169165202,-13.931344305050207
DJIMavic2Enterprise_Hover_6,1.5707963267948966,72.27869966043262,10,959.0,28.96608361531365,-12.255065858901759
DJIMavic2Enterprise_Hover_6,1.5707963267948966,72.27869966043262,11,959.0,28.96608361531365,-12.255065858901759
DJIMavic2Enterprise_Hover_6,1.5707963267948966,72.27869966043262,12,1145.0,26.982145803140142,-14.239003671075267
DJIMavic2Enterprise_Hover_6,1.5707963267948966,72.27869966043262,13,1180.0,27.74635639803504,-13.474793076180369
DJIMavic2Enterprise_Hover_6,1.5707963267948966,72.27869966043262,14,1336.0,22.768116536716573,-18.453032937498836
DJIMavic2Enterprise_Hover_6,1.5707963267948966,72.27869966043262,15,1336.0,22.768116536716573,-18.453032937498836
DJIMavic2Enterprise_Hover_7,1.619114588917568,72.76249046483021,1,87.0,40.693445429865314,0.0
DJIMavic2Enterprise_Hover_7,1.619114588917568,72.76249046483021,2,193.0,40.76383627523477,0.0703908453694595
DJIMavic2Enterprise_Hover_7,1.619114588917568,72.76249046483021,3,271.0,26.424902438218133,-14.26854299164718
DJIMavic2Enterprise_Hover_7,1.619114588917568,72.76249046483021,4,381.0,36.555097543469486,-4.138347886395827
DJIMavic2Enterprise_Hover_7,1.619114588917568,72.76249046483021,5,462.0,26.57015051849992,-14.123294911365395
DJIMavic2Enterprise_Hover_7,1.619114588917568,72.76249046483021,6,583.0,32.32343691798944,-8.370008511875874
DJIMavic2Enterprise_Hover_7,1.619114588917568,72.76249046483021,7,606.0,29.072472973267807,-11.620972456597507
DJIMavic2Enterprise_Hover_7,1.619114588917568,72.76249046483021,8,771.0,29.796138355550298,-10.897307074315016
DJIMavic2Enterprise_Hover_7,1.619114588917568,72.76249046483021,9,781.0,28.11426216436583,-12.579183265499484
DJIMavic2Enterprise_Hover_7,1.619114588917568,72.76249046483021,10,954.0,28.065075245703962,-12.628370184161351
DJIMavic2Enterprise_Hover_7,1.619114588917568,72.76249046483021,11,954.0,28.065075245703962,-12.628370184161351
DJIMavic2Enterprise_Hover_7,1.619114588917568,72.76249046483021,12,1170.0,27.14231234870875,-13.551133081156564
DJIMavic2Enterprise_Hover_7,1.619114588917568,72.76249046483021,13,1170.0,27.14231234870875,-13.551133081156564
DJIMavic2Enterprise_Hover_7,1.619114588917568,72.76249046483021,14,1214.0,24.25571707526315,-16.437728354602164
DJIMavic2Enterprise_Hover_7,1.619114588917568,72.76249046483021,15,1354.0,23.93068952971436,-16.762755900150953
